supplier,description,amount,currency,business_unit,country,gl_code
GroupM India,Media buying & TV/digital advertising FY25,1850000000,INR,Marketing,India,610010
WPP Media (Mindshare),Brand campaigns Surf Excel & Rin FY25,1420000000,INR,Marketing,India,610010
Hindustan Thompson,Print & outdoor advertising FY25,380000000,INR,Marketing,India,610011
Contract Manufacturing — Pondicherry,Third-party production personal care SKUs,920000000,INR,Supply Chain,India,510120
Contract Manufacturing — Haridwar,Third-party production home care SKUs,640000000,INR,Supply Chain,India,510120
Safexpress Logistics,Primary freight depot to distributor FY25,510000000,INR,Supply Chain,India,520040
Mahindra Logistics,Cold chain ambient distribution FY25,430000000,INR,Supply Chain,India,520041
Blue Dart Express,Secondary freight GT channel FY25,290000000,INR,Supply Chain,India,520042
Deloitte India,Trade promotion ROI & pricing analytics,185000000,INR,Commercial,India,630050
Accenture India,SAP S/4HANA AMS & cloud migration support,165000000,INR,IT,India,640020
TCS Ltd,Application development & integration services,142000000,INR,IT,India,640021
IBM India,Data platform & analytics cloud consumption,98000000,INR,IT,India,640022
Amazon Web Services,Consumer analytics & e-commerce workloads,76000000,INR,IT,India,640023
JLL India,Facilities management Mumbai & Bangalore hubs,68000000,INR,Real Estate,India,650010
Tata Power,Plant electricity & utilities FY25,54000000,INR,Manufacturing,India,660010
Siemens India,Packaging line maintenance & spares,42000000,INR,Manufacturing,India,660011
Bureau Veritas,FSSAI & quality audit compliance services,28000000,INR,Quality,India,670010
Unilever PLC,Royalty & technology licence fee FY25,320000000,INR,Corporate,India,630080
KPMG India,Statutory audit & tax advisory FY25,95000000,INR,Finance,India,630081
EY India,Transfer pricing & TP documentation,72000000,INR,Finance,India,630082
ManpowerGroup,Contract staffing manufacturing & sales,88000000,INR,HR,India,620030
Randstad India,Temp staffing modern trade activations,52000000,INR,HR,India,620031
NielsenIQ India,Market research & category insights FY25,48000000,INR,Commercial,India,610030
Kantar India,Brand tracking & media effectiveness,41000000,INR,Marketing,India,610031
Infosys Ltd,HR payroll & employee self-service platform,36000000,INR,IT,India,640024
Microsoft India,Office 365 enterprise licences FY25,32000000,INR,IT,India,640025
Asian Paints (industrial),Factory paint & coatings maintenance,24000000,INR,Manufacturing,India,660012
Uflex Ltd,Flexible packaging materials procurement,195000000,INR,Procurement,India,510130
Huhtamaki India,Rigid packaging & caps FY25,128000000,INR,Procurement,India,510131
Trade Promotion — GT,Primary scheme payouts general trade Q1-Q4,720000000,INR,Commercial,India,610040
Trade Promotion — MT,Modern trade visibility & listing fees,540000000,INR,Commercial,India,610041
E-commerce fulfilment — Flipkart,Marketplace logistics & fees FY25,210000000,INR,Commercial,India,610042
E-commerce fulfilment — Amazon,Marketplace logistics & fees FY25,185000000,INR,Commercial,India,610043
Water stewardship NGO grants,Community & sustainability programmes,12000000,INR,Corporate,India,680010
Insurance — ICICI Lombard,Property & liability insurance FY25,38000000,INR,Finance,India,630090
